uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"6289cf21-901e-40f0-ac17-f2dc24cc1e5e","HARV_006.tickPlot.tck","HARV","D01","HARV_006","2024-05-13T13:06Z","2024-12-06T17:00Z","HARV_006.20240513","HARV_006.20240513.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",5,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"67cae74e-0017-4844-8552-d7ea203806cf","HARV_006.tickPlot.tck","HARV","D01","HARV_006","2024-05-13T13:06Z","2024-12-06T17:00Z","HARV_006.20240513","HARV_006.20240513.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"6f412f95-5a2b-4d61-9dfb-1d4a4d70689d","HARV_006.tickPlot.tck","HARV","D01","HARV_006","2024-05-13T13:06Z","2024-12-06T17:00Z","HARV_006.20240513","HARV_006.20240513.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"1a0991bc-ef5f-408e-9c57-1437641d1915","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2024-05-13T15:08Z","2024-12-06T17:00Z","HARV_026.20240513","HARV_026.20240513.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"762a76c0-5e69-4e94-9dd7-355286a66558","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2024-05-13T15:08Z","2024-12-06T17:00Z","HARV_026.20240513","HARV_026.20240513.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Nymph",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"fd60509b-eb32-49d1-8174-e7e2649e85b9","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2024-05-13T15:08Z","2024-12-06T17:00Z","HARV_026.20240513","HARV_026.20240513.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Male",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"07f5dbe1-1bcd-4bd2-95ca-be74efa4bd27","HARV_026.tickPlot.tck","HARV","D01","HARV_026","2024-05-13T15:08Z","2024-12-06T17:00Z","HARV_026.20240513","HARV_026.20240513.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",3,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"5f681872-491a-4dd5-9055-92a090f021f4","HARV_022.tickPlot.tck","HARV","D01","HARV_022","2024-05-13T16:55Z","2024-12-06T17:00Z","HARV_022.20240513","HARV_022.20240513.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",43,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"bbd1ee97-2da2-40c1-91c8-40fe21562487","HARV_022.tickPlot.tck","HARV","D01","HARV_022","2024-05-13T16:55Z","2024-12-06T17:00Z","HARV_022.20240513","HARV_022.20240513.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Nymph",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"545852a2-67d6-4063-8f13-016724468410","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2024-05-13T18:34Z","2024-12-06T17:00Z","HARV_002.20240513","HARV_002.20240513.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"9c37eecc-ca74-4e2a-81f6-48eca4792af4","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2024-05-13T18:34Z","2024-12-06T17:00Z","HARV_002.20240513","HARV_002.20240513.IXOSCA.F","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"6bf5af7b-9702-4ce1-a355-53bd2d03014c","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2024-05-13T18:34Z","2024-12-06T17:00Z","HARV_002.20240513","HARV_002.20240513.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Nymph",2,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"8ac96210-2dd6-4e7a-93d7-83800ca0cf64","HARV_002.tickPlot.tck","HARV","D01","HARV_002","2024-05-13T18:34Z","2024-12-06T17:00Z","HARV_002.20240513","HARV_002.20240513.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,,"Larva",3,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
"332654b5-bdd5-4f7c-9e0a-ddd9beb3a266","HARV_004.tickPlot.tck","HARV","D01","HARV_004","2024-05-13T18:39Z","2024-12-06T17:00Z","HARV_004.20240513","HARV_004.20240513.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","NEON Tick Identification SOP 1.0_NEON Final_20241030.pdf",,"Say","Female",1,"OK","95% ethanol",,,"Guang Xu","University of Massachusetts Laboratory of Medical Zoology",,
