uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"893139c7-736a-4a63-9188-b725a0759b52","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2016-08-08T16:56Z","2017-04-25T16:00Z","BLAN_012.20160808","BLAN_012.20160808.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",2,"OK","RNA stabilization buffer","USNMENT00984438","BLAN_012.20160808.01.L","Guy Hobbs","Georgia Southern University",,
"ce28c1cf-b174-4ac6-98ec-60336aed756e","BLAN_015.tickPlot.tck","BLAN","D02","BLAN_015","2016-08-08T18:11Z","2017-04-25T16:00Z","BLAN_015.20160808","BLAN_015.20160808.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",20,"OK","RNA stabilization buffer","USNMENT00984439","BLAN_015.20160808.01.L","Guy Hobbs","Georgia Southern University",,
"08f1527a-7d82-4f8f-831f-1f6710c81456","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-08-08T19:47Z","2017-05-18T16:00Z","BLAN_005.20160808","BLAN_005.20160808.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",4,"OK","RNA stabilization buffer","USNMENT00984420","BLAN_005.20160808.01.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"7fea7a2c-fb79-4940-84d7-d65a83d3a554","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-08-08T19:47Z","2017-04-24T16:00Z","BLAN_005.20160808","BLAN_005.20160808.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",180,"OK","RNA stabilization buffer","USNMENT00984419","BLAN_005.20160808.01.L","Guy Hobbs","Georgia Southern University",,
"0e12c3fe-bdee-4672-b445-b774dc0ef839","BLAN_015.tickPlot.tck","BLAN","D02","BLAN_015","2016-08-29T16:12Z","2017-04-26T16:00Z","BLAN_015.20160829","BLAN_015.20160829.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",4,"OK","RNA stabilization buffer","USNMENT00984455","BLAN_015.20160829.01.L","Guy Hobbs","Georgia Southern University",,
"163cf462-8c01-4610-8d2c-54e5e2aa75ce","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2016-08-29T17:04Z","2017-05-17T16:00Z","BLAN_012.20160829","BLAN_012.20160829.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",1,"OK","RNA stabilization buffer","USNMENT00984450","BLAN_012.20160829.01.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
"d7cb13da-eab8-406c-bd26-71cd412936e8","BLAN_012.tickPlot.tck","BLAN","D02","BLAN_012","2016-08-29T17:04Z","2017-04-26T16:00Z","BLAN_012.20160829","BLAN_012.20160829.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",2,"OK","RNA stabilization buffer","USNMENT00984451","BLAN_012.20160829.01.L","Guy Hobbs","Georgia Southern University",,
"e05efbc2-7294-40c9-ba81-8fb9f7ecf668","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-08-29T17:58Z","2017-05-17T16:00Z","BLAN_005.20160829","BLAN_005.20160829.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Linnaeus","Nymph",1,"OK","RNA stabilization buffer","USNMENT00864588","BLAN_005.20160829.01.AMBAME.N","Lorenza Beati","Georgia Southern University",,
"dfcfd571-32d8-49cb-8b9e-f55545e35a9b","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-08-29T17:58Z","2017-04-26T16:00Z","BLAN_005.20160829","BLAN_005.20160829.01.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2016-11-01.pdf",,,"Larva",67,"OK","RNA stabilization buffer","USNMENT00984452",,"Guy Hobbs","Georgia Southern University",,
"97f98c2b-84d1-4e6e-b4ea-e758ab49b0af","BLAN_005.tickPlot.tck","BLAN","D02","BLAN_005","2016-08-29T17:58Z","2017-05-17T16:00Z","BLAN_005.20160829","BLAN_005.20160829.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf",,"Say","Nymph",3,"OK","RNA stabilization buffer","USNMENT00984453","BLAN_005.20160829.01.IXOSCA.N","Lorenza Beati","Georgia Southern University",,
