uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"8e6c26b5-f4b5-405e-be8c-e66034155d81","SCBI_006.tickPlot.tck","SCBI","D02","SCBI_006","2023-05-08T17:08Z","2023-08-24T16:00Z","SCBI_006.20230508","SCBI_006.20230508.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","GSU_tickIdentification_SOP_2021.pdf",,,"Nymph",20,"OK","95% ethanol","USNMENT1786641",,"L. Beati","Georgia Southern University",,
"3b51beaa-19b3-4300-871b-a0207a6330d3","SCBI_006.tickPlot.tck","SCBI","D02","SCBI_006","2023-05-08T17:08Z","2023-08-24T16:00Z","SCBI_006.20230508","SCBI_006.20230508.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Female",1,"OK","95% ethanol","USNMENT1786676",,"L. Beati","Georgia Southern University",,
"6880229a-2ff6-430e-8d1f-61ccb8cf1bdf","SCBI_006.tickPlot.tck","SCBI","D02","SCBI_006","2023-05-08T17:08Z","2023-08-24T16:00Z","SCBI_006.20230508","SCBI_006.20230508.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",30,"OK","95% ethanol","USNMENT1786643",,"L. Beati","Georgia Southern University",,
"fa110903-be72-416e-b148-af7144f9b0bf","SCBI_002.tickPlot.tck","SCBI","D02","SCBI_002","2023-05-08T17:41Z","2023-08-24T16:00Z","SCBI_002.20230508","SCBI_002.20230508.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1786596",,"L. Beati","Georgia Southern University",,
"c2d287e1-007e-4638-ab15-9b5c829b87db","SCBI_014.tickPlot.tck","SCBI","D02","SCBI_014","2023-05-08T18:34Z","2023-08-24T16:00Z","SCBI_014.20230508","SCBI_014.20230508.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1786602",,"L. Beati","Georgia Southern University",,
"b8b770e9-ee0d-4159-9ef3-b71142f6cd1d","SCBI_014.tickPlot.tck","SCBI","D02","SCBI_014","2023-05-08T18:34Z","2023-08-24T16:00Z","SCBI_014.20230508","SCBI_014.20230508.HAELON.F","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","GSU_tickIdentification_SOP_2021.pdf",,,"Female",1,"OK","95% ethanol","USNMENT1786601",,"L. Beati","Georgia Southern University",,
"1b923e2a-5a63-481d-ad4c-caf1ffc40384","SCBI_014.tickPlot.tck","SCBI","D02","SCBI_014","2023-05-08T18:34Z","2023-08-24T16:00Z","SCBI_014.20230508","SCBI_014.20230508.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","GSU_tickIdentification_SOP_2021.pdf",,,"Nymph",28,"OK","95% ethanol","USNMENT1786594",,"L. Beati","Georgia Southern University",,
"b0c340e0-8240-44fc-a850-15df70ea4d02","SCBI_007.tickPlot.tck","SCBI","D02","SCBI_007","2023-05-08T19:17Z","2023-08-24T16:00Z","SCBI_007.20230508","SCBI_007.20230508.HAELON.N","Haemaphysalis longicornis","HAELON","species","Ixodidae",,,,"Haemaphysalis",,"longicornis",,,"Egizi, A.M., et al. (2019). A pictorial key to differentiate the recently detected exotic Haemaphysalis longicornis Neumann, 1901 (Acari, Ixodidae) from native congeners in North America. ZooKeys 818, 117-128. doi: 10.3897/zookeys.818.30448","GSU_tickIdentification_SOP_2021.pdf",,,"Nymph",1,"OK","95% ethanol","USNMENT1786633",,"L. Beati","Georgia Southern University",,
"223f9432-1ca5-47cf-b673-c65ee3b8af83","SCBI_007.tickPlot.tck","SCBI","D02","SCBI_007","2023-05-08T19:17Z","2023-08-24T16:00Z","SCBI_007.20230508","SCBI_007.20230508.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",2,"OK","95% ethanol","USNMENT1786679",,"L. Beati","Georgia Southern University",,
"ab70ce17-6262-4d97-b56c-164c1446343e","SCBI_007.tickPlot.tck","SCBI","D02","SCBI_007","2023-05-08T19:17Z","2023-08-24T16:00Z","SCBI_007.20230508","SCBI_007.20230508.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",,,,"Dermacentor",,"variabilis",,,"Cooley, R. A. 1938. The genera Dermacentor and Otocentor (Ixodidae) in the United States, with studies in variation. US Government Printing Office.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Female",1,"OK","95% ethanol","USNMENT1786672",,"L. Beati","Georgia Southern University",,
