uid,namedLocation,siteID,domainID,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,identificationHistoryID,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF
"b62bb315-9ca0-4514-a3a5-7647124070b9","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2023-08-07T17:19Z","2023-12-27T17:00Z","SERC_001.20230807","SERC_001.20230807.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",4,"OK","95% ethanol","USNMENT1510633",,"L. Beati","Georgia Southern University",,
"191c5a2e-e95c-46b7-a0db-6fed7fb44e7e","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2023-08-07T17:19Z","2023-12-27T17:00Z","SERC_001.20230807","SERC_001.20230807.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",,,,"Ixodes",,"scapularis",,,"Durden, L.A. & Keirans, J.E. (1996). Nymphs of the genus Ixodes (Acari: Ixodidae) in the US. Taxonomy, ID Key, Distribution, Hosts, and Medical/Veterinary Importance. Thomas Say Publications in Entomology: Monographs. Entomological Society of America.","GSU_tickIdentification_SOP_2021.pdf",,"Say","Nymph",1,"OK","95% ethanol","USNMENT1510658",,"L. Beati","Georgia Southern University",,
"e10aa3e8-4a0d-4be0-a98f-1a7423ce3446","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2023-08-07T17:19Z","2023-12-27T17:00Z","SERC_001.20230807","SERC_001.20230807.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",315,"OK","95% ethanol","USNMENT1510628",,"L. Beati","Georgia Southern University",,
"796549ea-b10c-4355-a8a2-61d25d3cc58e","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2023-08-07T19:15Z","2023-12-27T17:00Z","SERC_012.20230807","SERC_012.20230807.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",6,"OK","95% ethanol","USNMENT1510608",,"L. Beati","Georgia Southern University",,
"fa9cdecc-067d-47fa-8c0c-c9bfdc5f173a","SERC_012.tickPlot.tck","SERC","D02","SERC_012","2023-08-07T19:15Z","2023-12-27T17:00Z","SERC_012.20230807","SERC_012.20230807.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",6,"OK","95% ethanol","USNMENT1510653",,"L. Beati","Georgia Southern University",,
"157a47a3-0297-4988-a4da-0407e061835f","SERC_002.tickPlot.tck","SERC","D02","SERC_002","2023-08-08T13:35Z","2023-12-27T17:00Z","SERC_002.20230808","SERC_002.20230808.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Male",1,"OK","95% ethanol","USNMENT1510634",,"L. Beati","Georgia Southern University",,
"1de58c15-80eb-4403-9c9c-59834638d6f8","SERC_006.tickPlot.tck","SERC","D02","SERC_006","2023-08-08T13:51Z","2023-12-27T17:00Z","SERC_006.20230808","SERC_006.20230808.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",74,"OK","95% ethanol","USNMENT1510614",,"L. Beati","Georgia Southern University",,
"a5cd0e0a-cf79-4d22-b497-a2491d2f548e","SERC_005.tickPlot.tck","SERC","D02","SERC_005","2023-08-08T15:00Z","2023-12-27T17:00Z","SERC_005.20230808","SERC_005.20230808.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",176,"OK","95% ethanol","USNMENT1510657",,"L. Beati","Georgia Southern University",,
"d6b49afc-fbf8-4653-aa2f-51fd48d16751","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2023-08-29T14:55Z","2024-02-05T17:00Z","SERC_001.20230829","SERC_001.20230829.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",,,,,,"sp.",,,,"GSU_tickIdentification_SOP_2021.pdf",,,"Larva",750,"OK","95% ethanol","USNMENT1510904",,"L. Beati","Georgia Southern University",,
"efd08342-2404-4e73-86d0-1a84c2f150b7","SERC_001.tickPlot.tck","SERC","D02","SERC_001","2023-08-29T14:55Z","2024-02-05T17:00Z","SERC_001.20230829","SERC_001.20230829.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",,,,"Amblyomma",,"americanum",,,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2021.pdf",,"Linnaeus","Nymph",1,"OK","95% ethanol","USNMENT1510900",,"L. Beati","Georgia Southern University",,
