uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF,source_file
af20f68b-c5ee-46b6-8de1-8b099bd13f93,BLAN_020.tickPlot.tck,D02,BLAN,BLAN_020,distributed,pastureHay,39.101651,-77.981855,WGS84,20.1,159.0,0.1,OK,,2020-07-06T13:55Z,BLAN.2020.28,,,drag,170.0,N,,,,,NEON.DOC.014045vK,0000-0002-7260-9320,Went off course at one point; out of plot,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
32a5914f-7845-431b-be29-06295a10c801,BLAN_004.tickPlot.tck,D02,BLAN,BLAN_004,distributed,pastureHay,39.088416,-77.961331,WGS84,20.1,123.7,0.1,OK,,2020-07-06T13:57Z,BLAN.2020.28,BLAN_004.20200706,A00000071837,drag,160.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0003-1865-4814,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
893ec51c-db6c-4303-bf4e-3e292a3e860f,BLAN_008.tickPlot.tck,D02,BLAN,BLAN_008,distributed,pastureHay,39.083875,-77.966321,WGS84,20.1,159.2,0.1,OK,,2020-07-06T14:47Z,BLAN.2020.28,,,drag,160.0,N,,,,,NEON.DOC.014045vK,0000-0003-1865-4814,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
77c5bc67-d2af-43e0-b923-fe48444c6e11,BLAN_005.tickPlot.tck,D02,BLAN,BLAN_005,distributed,deciduousForest,39.086224,-77.972736,WGS84,20.2,168.3,0.3,OK,,2020-07-06T15:14Z,BLAN.2020.28,BLAN_005.20200706,A00000069310,drag,163.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0002-7260-9320,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
23d0093c-0e22-44fb-a936-53a2475573cf,BLAN_015.tickPlot.tck,D02,BLAN,BLAN_015,distributed,deciduousForest,39.088729,-77.955492,WGS84,20.1,125.9,0.2,OK,,2020-07-06T15:46Z,BLAN.2020.28,,,drag,160.0,N,,,,,NEON.DOC.014045vK,0000-0003-1865-4814,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
125d3b04-4071-44aa-8a4f-f0b58f325102,BLAN_012.tickPlot.tck,D02,BLAN,BLAN_012,distributed,deciduousForest,39.082719,-77.95959,WGS84,20.2,134.9,0.2,OK,,2020-07-06T17:05Z,BLAN.2020.28,BLAN_012.20200706,A00000071824,drag,167.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0002-7260-9320,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
e59e6513-0468-4930-87b0-d64fdf4f05bf,BLAN_015.tickPlot.tck,D02,BLAN,BLAN_015,distributed,deciduousForest,39.088729,-77.955492,WGS84,20.1,125.9,0.2,OK,,2020-07-27T13:17Z,BLAN.2020.31,BLAN_015.20200727,A00000068788,drag,160.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0001-8112-7529,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
14159c72-f6cf-45a8-a97a-36608e0cb130,BLAN_012.tickPlot.tck,D02,BLAN,BLAN_012,distributed,deciduousForest,39.082719,-77.95959,WGS84,20.2,134.9,0.2,OK,,2020-07-27T14:03Z,BLAN.2020.31,BLAN_012.20200727,A00000069294,drag,160.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0001-8112-7529,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
83d83b77-9d40-40a6-979e-69b5d5b8064d,BLAN_005.tickPlot.tck,D02,BLAN,BLAN_005,distributed,deciduousForest,39.086224,-77.972736,WGS84,20.2,168.3,0.3,OK,,2020-07-27T15:01Z,BLAN.2020.31,BLAN_005.20200727,A00000161598,drag,165.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0001-8112-7529,Tape on paper and vial with ethanol,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
d719a4e6-6a07-41cf-ad02-c1b5601ea2c5,BLAN_020.tickPlot.tck,D02,BLAN,BLAN_020,distributed,pastureHay,39.101651,-77.981855,WGS84,20.1,159.0,0.1,OK,,2020-07-27T17:04Z,BLAN.2020.31,BLAN_020.20200727,A00000071840,drag,150.0,Y,,,,No known compromise,NEON.DOC.014045vK,0000-0001-8112-7529,,,NEON.D02.BLAN.DP1.10093.001.tck_fielddata.2020-07.basic.20260107T162447Z.csv
