uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF
"a7ec27e4-60fc-4033-adb4-ee219fd55e17","BLAN_020.tickPlot.tck","D02","BLAN","BLAN_020","distributed","pastureHay",39.101651,-77.981855,"WGS84",20.1,159.0,0.1,"OK",,"2022-07-07T14:00Z","BLAN.2022.27","BLAN_020.20220707","A00000069166","drag",140,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-7784-3864",,
"596b2033-b2b7-4fcc-9e76-e7d3128f57ec","BLAN_008.tickPlot.tck","D02","BLAN","BLAN_008","distributed","pastureHay",39.083875,-77.966321,"WGS84",20.1,159.2,0.1,"OK",,"2022-07-07T15:22Z","BLAN.2022.27",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0001-7784-3864",,
"9eb95abd-75c1-4dc1-838c-b63bec9b8449","BLAN_015.tickPlot.tck","D02","BLAN","BLAN_015","distributed","deciduousForest",39.088729,-77.955492,"WGS84",20.1,125.9,0.2,"location wet",,"2022-07-07T16:00Z","BLAN.2022.27",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7784-3864",,
"def765c2-384b-4b8b-8c57-31dc9f6bd648","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086224,-77.972736,"WGS84",20.2,168.3,0.3,"location wet",,"2022-07-07T16:00Z","BLAN.2022.27",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7784-3864",,
"a36df651-48bb-47f8-9147-38592b600991","BLAN_012.tickPlot.tck","D02","BLAN","BLAN_012","distributed","deciduousForest",39.082719,-77.959590,"WGS84",20.2,134.9,0.2,"location wet",,"2022-07-07T16:00Z","BLAN.2022.27",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-7784-3864",,
"60e5006a-346f-42dd-9dc7-5c203e837bf6","BLAN_004.tickPlot.tck","D02","BLAN","BLAN_004","distributed","pastureHay",39.088416,-77.961331,"WGS84",20.1,123.7,0.1,"OK",,"2022-07-07T16:09Z","BLAN.2022.27","BLAN_004.20220707","A00000071846","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-7784-3864",,
"93970b55-7a73-4f82-ac1e-16648d839bf3","BLAN_004.tickPlot.tck","D02","BLAN","BLAN_004","distributed","pastureHay",39.088416,-77.961331,"WGS84",20.1,123.7,0.1,"OK",,"2022-07-25T13:42Z","BLAN.2022.30","BLAN_004.20220725","A00000162740","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-7784-3864",,
"24f60ac8-0a3a-4332-b091-262408a7d16c","BLAN_008.tickPlot.tck","D02","BLAN","BLAN_008","distributed","pastureHay",39.083875,-77.966321,"WGS84",20.1,159.2,0.1,"OK",,"2022-07-25T14:20Z","BLAN.2022.30","BLAN_008.20220725","A00000071823","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-7784-3864",,
"a6c51c91-3d77-4308-8032-fafca0f3df21","BLAN_015.tickPlot.tck","D02","BLAN","BLAN_015","distributed","deciduousForest",39.088729,-77.955492,"WGS84",20.1,125.9,0.2,"location wet",,"2022-07-27T16:00Z","BLAN.2022.30",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-8112-7529",,
"32769805-7d2d-416c-bd2d-354aa95790e1","BLAN_012.tickPlot.tck","D02","BLAN","BLAN_012","distributed","deciduousForest",39.082719,-77.959590,"WGS84",20.2,134.9,0.2,"location wet",,"2022-07-27T16:00Z","BLAN.2022.30",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-8112-7529",,
"994ca10d-115e-4696-b048-24ee16b2c61e","BLAN_005.tickPlot.tck","D02","BLAN","BLAN_005","distributed","deciduousForest",39.086224,-77.972736,"WGS84",20.2,168.3,0.3,"location wet",,"2022-07-27T16:00Z","BLAN.2022.30",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-8112-7529",,
"ae4fc609-8ebe-48d3-8aed-7c05646ee1c2","BLAN_020.tickPlot.tck","D02","BLAN","BLAN_020","distributed","pastureHay",39.101651,-77.981855,"WGS84",20.1,159.0,0.1,"location wet",,"2022-07-27T16:00Z","BLAN.2022.30",,,,,,,,,,"NEON.DOC.014045vL","0000-0001-8112-7529",,
